Timepoint,Flask,mM_HCHO,rep,CFU,CFU_ext
16,B,11,B,0,0
16,B,11,C,0,0
16,B,12,A,0,0
16,B,12,B,0,0
16,B,12,C,0,0
16,C,0,A,2545.454545,2545.454545
16,C,0,B,3818.181818,3818.181818
16,C,0,C,3636.363636,3636.363636
16,C,1,A,1727.272727,1727.272727
16,C,1,B,1363.636364,1363.636364
16,C,1,C,1181.818182,1181.818182
16,C,2,A,1636.363636,1636.363636
16,C,2,B,1727.272727,1727.272727
16,C,2,C,1545.454545,1545.454545
16,C,3,A,1727.272727,1727.272727
16,C,3,B,1181.818182,1181.818182
16,C,3,C,1363.636364,1363.636364
16,C,4,A,1636.363636,1636.363636
16,C,4,B,727.2727273,727.2727273
16,C,4,C,1727.272727,1727.272727
16,C,5,A,363.6363636,363.6363636
16,C,5,B,90.90909091,90.90909091
16,C,5,C,363.6363636,363.6363636
16,C,6,A,0,90.90909091
16,C,6,B,0,0
16,C,6,C,0,0
16,C,7,A,0,0
16,C,7,B,0,0
16,C,7,C,0,0
16,C,8,A,0,0
16,C,8,B,0,0
16,C,8,C,0,0
16,C,9,A,0,0
16,C,9,B,0,0
16,C,9,C,0,0
16,C,10,A,0,0
16,C,10,B,0,0
16,C,10,C,0,0
16,C,11,A,0,0
16,C,11,B,0,0
16,C,11,C,0,0
16,C,12,A,0,0
16,C,12,B,0,0
16,C,12,C,0,0
20,A,0,A,2454.545455,2454.545455
20,A,0,B,1545.454545,1545.454545
20,A,0,C,1818.181818,1818.181818
20,A,1,A,1636.363636,1636.363636
20,A,1,B,2363.636364,2363.636364
20,A,1,C,1727.272727,1727.272727
20,A,2,A,1363.636364,1363.636364
20,A,2,B,1727.272727,1727.272727
20,A,2,C,2090.909091,2090.909091
20,A,3,A,1363.636364,1363.636364
20,A,3,B,1363.636364,1363.636364
20,A,3,C,2090.909091,2090.909091
20,A,4,A,1272.727273,1272.727273
20,A,4,B,2272.727273,2272.727273
20,A,4,C,1636.363636,1636.363636
20,A,5,A,0,0
20,A,5,B,272.7272727,272.7272727
20,A,5,C,545.4545455,545.4545455
20,A,6,A,181.8181818,181.8181818
20,A,6,B,181.8181818,181.8181818
20,A,6,C,0,0
20,A,7,A,0,0
20,A,7,B,90.90909091,90.90909091
20,A,7,C,90.90909091,90.90909091
20,A,8,A,0,0
20,A,8,B,90.90909091,90.90909091
20,A,8,C,0,0
20,A,9,A,0,90.90909091
20,A,9,B,0,0
20,A,9,C,0,0
20,A,10,A,0,0
20,A,10,B,0,0
20,A,10,C,0,0
20,A,11,A,0,0
20,A,11,B,0,0
20,A,11,C,0,0
20,A,12,A,0,0
20,A,12,B,0,0
20,A,12,C,0,0
20,B,0,A,2636.363636,2636.363636
20,B,0,B,2818.181818,2818.181818
20,B,0,C,2090.909091,2090.909091
20,B,1,A,1909.090909,1909.090909
20,B,1,B,3000,3000
20,B,1,C,2636.363636,2636.363636
20,B,2,A,2545.454545,2545.454545
20,B,2,B,1909.090909,1909.090909
20,B,2,C,2363.636364,2363.636364
20,B,3,A,1909.090909,1909.090909
20,B,3,B,1727.272727,1727.272727
20,B,3,C,2636.363636,2636.363636
20,B,4,A,2000,2000
20,B,4,B,2272.727273,2272.727273
20,B,4,C,1727.272727,1727.272727
20,B,5,A,0,0
20,B,5,B,181.8181818,181.8181818
20,B,5,C,181.8181818,181.8181818
20,B,6,A,90.90909091,90.90909091
20,B,6,B,90.90909091,90.90909091
20,B,6,C,90.90909091,90.90909091
20,B,7,A,90.90909091,90.90909091
20,B,7,B,90.90909091,90.90909091
20,B,7,C,0,0
20,B,8,A,90.90909091,90.90909091
20,B,8,B,0,0
20,B,8,C,0,0
20,B,9,A,0,90.90909091
20,B,9,B,0,0
20,B,9,C,0,0
20,B,10,A,0,0
20,B,10,B,0,0
20,B,10,C,0,0
20,B,11,A,0,0
20,B,11,B,0,0
20,B,11,C,0,0
20,B,12,A,0,0
20,B,12,B,0,0
20,B,12,C,0,0
20,C,0,A,3090.909091,3090.909091
20,C,0,B,1727.272727,1727.272727
20,C,0,C,2818.181818,2818.181818
20,C,1,A,2181.818182,2181.818182
20,C,1,B,2363.636364,2363.636364
20,C,1,C,2727.272727,2727.272727
20,C,2,A,1636.363636,1636.363636
20,C,2,B,2090.909091,2090.909091
20,C,2,C,2363.636364,2363.636364
20,C,3,A,2454.545455,2454.545455
20,C,3,B,2818.181818,2818.181818
20,C,3,C,2090.909091,2090.909091
20,C,4,A,1272.727273,1272.727273
20,C,4,B,1909.090909,1909.090909
20,C,4,C,1545.454545,1545.454545
20,C,5,A,0,0
20,C,5,B,90.90909091,90.90909091
20,C,5,C,90.90909091,90.90909091
20,C,6,A,90.90909091,90.90909091
20,C,6,B,181.8181818,181.8181818
20,C,6,C,0,0
20,C,7,A,90.90909091,90.90909091
20,C,7,B,0,0
20,C,7,C,181.8181818,181.8181818
20,C,8,A,90.90909091,90.90909091
20,C,8,B,0,0
20,C,8,C,0,0
20,C,9,A,0,90.90909091
20,C,9,B,0,0
20,C,9,C,0,0
20,C,10,A,0,0
20,C,10,B,0,0
20,C,10,C,0,0
20,C,11,A,0,0
20,C,11,B,0,0
20,C,11,C,0,0
20,C,12,A,0,0
20,C,12,B,0,0
20,C,12,C,0,0
