Flask,Timepoint,mM_HCHO,Rep,CFU,CFU_ext
11M,12,2,B,13636363.64,13636363.64
11M,12,2,C,16363636.36,16363636.36
11M,12,4,A,8181818.182,8181818.182
11M,12,4,B,6363636.364,6363636.364
11M,12,4,C,7272727.273,7272727.273
11M,12,6,A,4181818.182,4181818.182
11M,12,6,B,4000000,4000000
11M,12,6,C,6363636.364,6363636.364
11M,12,8,A,318181.8182,318181.8182
11M,12,8,B,336363.6364,336363.6364
11M,12,8,C,236363.6364,236363.6364
11M,12,10,A,90.90909091,90.90909091
11M,12,10,B,90.90909091,90.90909091
11M,12,10,C,0,0
11M,12,12,A,0,90.90909091
11M,12,12,B,0,0
11M,12,12,C,0,0
11S,12,0,A,11818181.82,11818181.82
11S,12,0,B,9090909.091,9090909.091
11S,12,0,C,8181818.182,8181818.182
11S,12,2,A,1181818.182,1181818.182
11S,12,2,B,1272727.273,1272727.273
11S,12,2,C,1272727.273,1272727.273
11S,12,4,A,1181818.182,1181818.182
11S,12,4,B,1272727.273,1272727.273
11S,12,4,C,636363.6364,636363.6364
11S,12,6,A,172727.2727,172727.2727
11S,12,6,B,172727.2727,172727.2727
11S,12,6,C,118181.8182,118181.8182
11S,12,8,A,90.90909091,90.90909091
11S,12,8,B,272.7272727,272.7272727
11S,12,8,C,181.8181818,181.8181818
11S,12,10,A,0,90.90909091
11S,12,10,B,0,0
11S,12,10,C,0,0
11S,12,12,A,0,0
11S,12,12,B,0,0
11S,12,12,C,0,0
12M,12,0,A,20909090.91,20909090.91
12M,12,0,B,17272727.27,17272727.27
12M,12,0,C,13636363.64,13636363.64
12M,12,2,A,7272727.273,7272727.273
12M,12,2,B,7272727.273,7272727.273
12M,12,2,C,8181818.182,8181818.182
12M,12,4,A,818181.8182,818181.8182
12M,12,4,B,636363.6364,636363.6364
12M,12,4,C,1181818.182,1181818.182
12M,12,6,A,390909.0909,390909.0909
12M,12,6,B,636363.6364,636363.6364
12M,12,6,C,400000,400000
12M,12,8,A,21818.18182,21818.18182
12M,12,8,B,28181.81818,28181.81818
12M,12,8,C,28181.81818,28181.81818
12M,12,10,A,0,90.90909091
12M,12,10,B,0,0
12M,12,10,C,0,0
12M,12,12,A,0,0
12M,12,12,B,0,0
12M,12,12,C,0,0
12S,12,0,A,14545454.55,14545454.55
12S,12,0,B,10000000,10000000
12S,12,0,C,6363636.364,6363636.364
12S,12,2,A,1000000,1000000
12S,12,2,B,1727272.727,1727272.727
12S,12,2,C,727272.7273,727272.7273
12S,12,4,A,154545.4545,154545.4545
12S,12,4,B,90909.09091,90909.09091
12S,12,4,C,54545.45455,54545.45455
12S,12,6,A,17272.72727,17272.72727
12S,12,6,B,20000,20000
